,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Deep_Blue_Aerosol_Optical_Depth_550_Land,AOD_550_Dark_Target_Deep_Blue_Combined,AOD_550_Dark_Target_Deep_Blue_Combined_QA_Flag,Aerosol_Cloud_Fraction_Land,Image_Optical_Depth_Land_And_Ocean,Location
85,2017.0,4.0,6.0,8.0,0.0,10.0,28.63409996,77.20050049,0.9480000450275838,1.0940000519622117,3.0,0.3650000173365697,1.0940000519622117,Mandir
86,2017.0,4.0,6.0,8.0,0.0,10.0,28.637672,77.15714399999999,1.0160000482574105,1.210000057471916,3.0,0.09400000446476042,1.210000057471916,Pusa
86,2017.0,4.0,6.0,8.0,0.0,10.0,28.65169907,77.15809631,1.0160000482574105,1.210000057471916,3.0,0.09400000446476042,1.210000057471916,Shadipur
86,2017.0,4.0,6.0,8.0,0.0,10.0,28.66830063,77.11669922,1.0160000482574105,1.210000057471916,3.0,0.09400000446476042,1.210000057471916,Punjabi Bagh
86,2017.0,4.0,6.0,8.0,0.0,10.0,28.56,77.094,1.0160000482574105,1.210000057471916,3.0,0.09400000446476042,1.210000057471916,IGI Airport
87,2017.0,4.0,6.0,8.0,0.0,10.0,28.590999600000004,77.05000305,0.9490000450750813,1.192000056616962,3.0,0.0720000034198165,1.192000056616962,NSIT Dwarka
86,2017.0,4.0,6.0,8.0,0.0,10.0,28.48,77.13,1.0160000482574105,1.210000057471916,3.0,0.09400000446476042,1.210000057471916,Aya Nagar
84,2017.0,4.0,6.0,8.0,0.0,10.0,28.55,77.28,0.7790000370005146,-9999.0,0.0,0.6220000295434147,0.913000043365173,CRRI Mathura
85,2017.0,4.0,6.0,8.0,0.0,10.0,28.56480026,77.17440033,0.9480000450275838,1.0940000519622117,3.0,0.3650000173365697,1.0940000519622117,R K Puram
85,2017.0,4.0,6.0,8.0,0.0,10.0,28.54965,77.21215,0.9480000450275838,1.0940000519622117,3.0,0.3650000173365697,1.0940000519622117,Sirifort
85,2017.0,4.0,6.0,8.0,0.0,10.0,28.63575935,77.22444916,0.9480000450275838,1.0940000519622117,3.0,0.3650000173365697,1.0940000519622117,US Diplomatic Post: New Delhi
85,2017.0,4.0,6.0,8.0,0.0,10.0,28.62350082,77.24939728,0.9480000450275838,1.0940000519622117,3.0,0.3650000173365697,1.0940000519622117,ITO
