,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag,Location
59133,2016.0,6.0,16.0,8.0,36.0,7.0,28.6508,77.3152,-9999.0,-9999.0,1.0,-9999.0,"Anand Vihar, Delhi - DPCC"
60037,2016.0,6.0,16.0,8.0,36.0,8.0,28.688454999999998,77.17575,1.2460000591818243,1.2460000591818243,1.0,3.0,"Ashok Vihar, Delhi - DPCC"
56431,2016.0,6.0,16.0,8.0,36.0,4.0,28.48,77.13,0.9820000466424972,0.9820000466424972,1.0,3.0,"Aya Nagar, New Delhi - IMD"
60488,2016.0,6.0,16.0,8.0,36.0,8.0,28.72835,77.197484,-9999.0,1.2860000610817224,1.0,0.0,"Burari Crossing, New Delhi - IMD"
57330,2016.0,6.0,16.0,8.0,36.0,5.0,28.55,77.28,1.1550000548595563,1.1550000548595563,1.0,3.0,"CRRI Mathura Road, New Delhi - IMD"
60940,2016.0,6.0,16.0,8.0,36.0,8.0,28.7504,77.11717,1.0690000507747754,1.0690000507747754,1.0,3.0,"DTU, New Delhi - CPCB"
56429,2016.0,6.0,16.0,8.0,36.0,4.0,28.499727000000004,77.267095,1.1430000542895868,1.1430000542895868,1.0,3.0,"Dr. Karni Singh Shooting Range, Delhi - DPCC†"
57784,2016.0,6.0,16.0,8.0,36.0,5.0,28.572038,77.070837,0.9480000450275838,0.9480000450275838,1.0,3.0,"Dwarka-Sector 8, Delhi - DPCC"
59134,2016.0,6.0,16.0,8.0,36.0,7.0,28.655602000000002,77.294687,-9999.0,-9999.0,2.0,-9999.0,"East Arjun Nagar, Delhi - CPCB"
57784,2016.0,6.0,16.0,8.0,36.0,5.0,28.56,77.094,0.9480000450275838,0.9480000450275838,1.0,3.0,"IGI Airport Terminal - 3, New Delhi - IMD"
60035,2016.0,6.0,16.0,8.0,36.0,8.0,28.68255,77.30512,-9999.0,-9999.0,1.0,-9999.0,"IHBAS, Dilshad Garden,New Delhi - CPCB"
58233,2016.0,6.0,16.0,8.0,36.0,7.0,28.624059999999997,77.2411,1.0550000501098111,1.0550000501098111,1.0,3.0,"ITO, New Delhi - CPCB"
60488,2016.0,6.0,16.0,8.0,36.0,8.0,28.725833,77.162752,-9999.0,1.2860000610817224,1.0,0.0,"Jahangirpuri, Delhi - DPCC"
57782,2016.0,6.0,16.0,8.0,36.0,5.0,28.582846000000004,77.23436600000001,1.1650000553345308,1.1650000553345308,1.0,3.0,"Jawaharlal Nehru Stadium, Delhi - DPCC"
57782,2016.0,6.0,16.0,8.0,36.0,5.0,28.59,77.24,1.1650000553345308,1.1650000553345308,1.0,3.0,"Lodhi Road, New Delhi - IMD"
58233,2016.0,6.0,16.0,8.0,36.0,7.0,28.612441999999998,77.23727199999999,1.0550000501098111,1.0550000501098111,1.0,3.0,"Major Dhyan Chand National Stadium, Delhi - DPCC"
59135,2016.0,6.0,16.0,8.0,36.0,7.0,28.6341,77.2005,1.0850000515347347,1.0850000515347347,1.0,3.0,"Mandir Marg, New Delhi - DPCC"
58236,2016.0,6.0,16.0,8.0,36.0,7.0,28.608052,77.036187,0.9810000465949997,0.9810000465949997,1.0,3.0,"NSIT Dwarka, New Delhi - CPCB"
58237,2016.0,6.0,16.0,8.0,36.0,7.0,28.609013,76.985453,-9999.0,0.831000039470382,1.0,0.0,"Najafgarh, Delhi - DPCC"
63195,2016.0,6.0,16.0,8.0,36.0,11.0,28.853959999999997,77.09178399999999,-9999.0,0.9410000446951017,1.0,0.0,"Narela, Delhi - DPCC"
57781,2016.0,6.0,16.0,8.0,36.0,5.0,28.563867,77.26080999999999,-9999.0,1.2280000583268702,2.0,0.0,"Nehru Nagar, Delhi - DPCC"
