,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Deep_Blue_Aerosol_Optical_Depth_550_Land,AOD_550_Dark_Target_Deep_Blue_Combined,AOD_550_Dark_Target_Deep_Blue_Combined_QA_Flag,Aerosol_Cloud_Fraction_Land,Image_Optical_Depth_Land_And_Ocean,Location
11451,2016.0,6.0,8.0,7.0,47.0,13.0,28.700217,77.16379,0.51400002441369,0.6430000305408612,3.0,0.0,0.7720000366680324,"Wazirpur, Delhi - DPCC"
11315,2016.0,2.0,1.0,7.0,47.0,12.0,28.6508,77.3152,0.2790000132517889,-9999.0,0.0,0.0,0.3570000169565901,"Anand Vihar, Delhi - DPCC"
11451,2016.0,2.0,1.0,7.0,47.0,13.0,28.688454999999998,77.17575,0.32800001557916403,-9999.0,0.0,0.042000001994892955,0.21900001040194184,"Ashok Vihar, Delhi - DPCC"
11182,2016.0,2.0,1.0,7.0,47.0,10.0,28.48,77.13,0.30500001448672265,-9999.0,0.0,0.04700000223238021,0.27000001282431185,"Aya Nagar, New Delhi - IMD"
11451,2016.0,2.0,1.0,7.0,47.0,13.0,28.72835,77.197484,0.32800001557916403,-9999.0,0.0,0.042000001994892955,0.21900001040194184,"Burari Crossing, New Delhi - IMD"
11181,2016.0,2.0,1.0,7.0,47.0,10.0,28.55,77.28,0.36700001743156463,-9999.0,0.0,0.025000001187436283,0.26200001244433224,"CRRI Mathura Road, New Delhi - IMD"
11586,2016.0,2.0,1.0,7.0,47.0,15.0,28.7504,77.11717,0.31700001505669206,0.277000013156794,3.0,0.14200000674463809,0.277000013156794,"DTU, New Delhi - CPCB"
11181,2016.0,2.0,1.0,7.0,47.0,10.0,28.499727000000004,77.267095,0.36700001743156463,-9999.0,0.0,0.025000001187436283,0.26200001244433224,"Dr. Karni Singh Shooting Range, Delhi - DPCC†"
11317,2016.0,2.0,1.0,7.0,47.0,12.0,28.572038,77.070837,0.3800000180490315,-9999.0,0.0,0.15700000745709985,0.39900001895148307,"Dwarka-Sector 8, Delhi - DPCC"
11451,2016.0,2.0,1.0,7.0,47.0,13.0,28.655602000000002,77.294687,0.32800001557916403,-9999.0,0.0,0.042000001994892955,0.21900001040194184,"East Arjun Nagar, Delhi - CPCB"
11317,2016.0,2.0,1.0,7.0,47.0,12.0,28.56,77.094,0.3800000180490315,-9999.0,0.0,0.15700000745709985,0.39900001895148307,"IGI Airport Terminal - 3, New Delhi - IMD"
11450,2016.0,2.0,1.0,7.0,47.0,13.0,28.68255,77.30512,0.20600000978447497,0.17800000845454633,3.0,0.06400000303983688,0.17800000845454633,"IHBAS, Dilshad Garden,New Delhi - CPCB"
11316,2016.0,2.0,1.0,7.0,47.0,12.0,28.624059999999997,77.2411,0.3040000144392252,0.3980000189039856,3.0,0.019000000902451575,0.3980000189039856,"ITO, New Delhi - CPCB"
11586,2016.0,2.0,1.0,7.0,47.0,15.0,28.725833,77.162752,0.31700001505669206,0.277000013156794,3.0,0.14200000674463809,0.277000013156794,"Jahangirpuri, Delhi - DPCC"
11316,2016.0,2.0,1.0,7.0,47.0,12.0,28.582846000000004,77.23436600000001,0.3040000144392252,0.3980000189039856,3.0,0.019000000902451575,0.3980000189039856,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11316,2016.0,2.0,1.0,7.0,47.0,12.0,28.59,77.24,0.3040000144392252,0.3980000189039856,3.0,0.019000000902451575,0.3980000189039856,"Lodhi Road, New Delhi - IMD"
11316,2016.0,2.0,1.0,7.0,47.0,12.0,28.612441999999998,77.23727199999999,0.3040000144392252,0.3980000189039856,3.0,0.019000000902451575,0.3980000189039856,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11451,2016.0,2.0,1.0,7.0,47.0,13.0,28.6341,77.2005,0.32800001557916403,-9999.0,0.0,0.042000001994892955,0.21900001040194184,"Mandir Marg, New Delhi - DPCC"
