Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Deep_Blue_Aerosol_Optical_Depth_550_Land,AOD_550_Dark_Target_Deep_Blue_Combined,AOD_550_Dark_Target_Deep_Blue_Combined_QA_Flag,Aerosol_Cloud_Fraction_Land,Image_Optical_Depth_Land_And_Ocean
2017.0,11.0,28.0,8.0,20.0,10.0,16.242172241210938,87.21768951416016,-9999.0,-9999.0,0.0,-9999.0,0.2590000123018399
2017.0,11.0,28.0,8.0,20.0,10.0,16.202075958251953,86.80113220214844,-9999.0,-9999.0,0.0,-9999.0,0.28200001339428127
2017.0,11.0,28.0,8.0,20.0,10.0,16.164012908935547,86.41328430175781,-9999.0,-9999.0,0.0,-9999.0,0.3550000168615952
2017.0,11.0,28.0,8.0,20.0,10.0,16.127777099609375,86.05055236816406,-9999.0,0.38700001838151366,3.0,-9999.0,0.38700001838151366
2017.0,11.0,28.0,8.0,20.0,10.0,16.093196868896484,85.70997619628906,-9999.0,-9999.0,0.0,-9999.0,0.37300001771654934
2017.0,11.0,28.0,8.0,20.0,10.0,16.060121536254883,85.38907623291016,-9999.0,0.2730000129668042,3.0,-9999.0,0.2730000129668042
2017.0,11.0,28.0,8.0,20.0,10.0,16.028419494628906,85.08576202392578,-9999.0,0.26200001244433224,3.0,-9999.0,0.26200001244433224
2017.0,11.0,28.0,8.0,20.0,10.0,15.997978210449219,84.79826354980469,-9999.0,0.2650000125868246,3.0,-9999.0,0.2650000125868246
2017.0,11.0,28.0,8.0,20.0,10.0,15.968692779541016,84.52503967285156,-9999.0,0.28400001348927617,3.0,-9999.0,0.28400001348927617
2017.0,11.0,28.0,8.0,20.0,10.0,15.940479278564453,84.26478576660156,-9999.0,0.3000000142492354,3.0,-9999.0,0.3000000142492354
2017.0,11.0,28.0,8.0,20.0,10.0,15.913252830505371,84.01631927490234,-9999.0,0.3240000153891742,3.0,-9999.0,0.3240000153891742
2017.0,11.0,28.0,8.0,20.0,10.0,15.886944770812988,83.77864074707031,-9999.0,0.31900001515168697,3.0,-9999.0,0.31900001515168697
2017.0,11.0,28.0,8.0,20.0,10.0,15.861488342285156,83.55084991455078,-9999.0,0.3160000150091946,3.0,-9999.0,0.3160000150091946
2017.0,11.0,28.0,8.0,20.0,10.0,15.836825370788574,83.33216094970703,-9999.0,0.29700001410674304,3.0,-9999.0,0.29700001410674304
2017.0,11.0,28.0,8.0,20.0,10.0,15.81290340423584,83.12186431884766,-9999.0,0.3020000143442303,3.0,-9999.0,0.3020000143442303
2017.0,11.0,28.0,8.0,20.0,10.0,15.789673805236816,82.9193115234375,-9999.0,0.3000000142492354,3.0,-9999.0,0.3000000142492354
2017.0,11.0,28.0,8.0,20.0,10.0,15.767090797424316,82.72395324707031,-9999.0,0.29300001391675323,3.0,-9999.0,0.29300001391675323
2017.0,11.0,28.0,8.0,20.0,10.0,15.745116233825684,82.5352783203125,-9999.0,0.3100000147242099,3.0,-9999.0,0.3100000147242099
2017.0,11.0,28.0,8.0,20.0,10.0,15.723712921142578,82.35279846191406,-9999.0,0.28400001348927617,3.0,-9999.0,0.28400001348927617
2017.0,11.0,28.0,8.0,20.0,10.0,15.702840805053711,82.17608642578125,-9999.0,0.27400001301430166,3.0,-9999.0,0.27400001301430166
2017.0,11.0,28.0,8.0,20.0,10.0,15.682472229003906,82.00477600097656,-9999.0,0.2940000139642507,3.0,-9999.0,0.2940000139642507
2017.0,11.0,28.0,8.0,20.0,10.0,15.662576675415039,81.83849334716797,-9999.0,0.2940000139642507,3.0,-9999.0,0.2940000139642507
2017.0,11.0,28.0,8.0,20.0,10.0,15.643125534057617,81.67692565917969,-9999.0,0.2920000138692558,3.0,-9999.0,0.2920000138692558
2017.0,11.0,28.0,8.0,20.0,10.0,15.624094009399414,81.51979064941406,-9999.0,0.27600001310929656,3.0,-9999.0,0.27600001310929656
2017.0,11.0,28.0,8.0,20.0,10.0,15.605459213256836,81.36679077148438,-9999.0,0.30300001439172775,3.0,-9999.0,0.30300001439172775
2017.0,11.0,28.0,8.0,20.0,10.0,15.587198257446289,81.21768188476562,-9999.0,0.3040000144392252,1.0,-9999.0,0.3040000144392252
2017.0,11.0,28.0,8.0,20.0,10.0,15.56928825378418,81.07223510742188,-9999.0,0.38100001809652895,1.0,-9999.0,0.38100001809652895
2017.0,11.0,28.0,8.0,20.0,10.0,15.551712989807129,80.93024444580078,-9999.0,0.39900001895148307,3.0,-9999.0,0.39900001895148307
2017.0,11.0,28.0,8.0,20.0,10.0,15.534454345703125,80.79150390625,-9999.0,0.41600001975893974,3.0,-9999.0,0.41600001975893974
2017.0,11.0,28.0,8.0,20.0,10.0,15.517492294311523,80.65582275390625,-9999.0,0.48400002298876643,3.0,-9999.0,0.48400002298876643
2017.0,11.0,28.0,8.0,20.0,10.0,15.500811576843262,80.52303314208984,-9999.0,0.45300002151634544,3.0,-9999.0,0.45300002151634544
2017.0,11.0,28.0,8.0,20.0,10.0,15.48439884185791,80.39297485351562,-9999.0,0.257000012206845,1.0,-9999.0,0.257000012206845
2017.0,11.0,28.0,8.0,20.0,10.0,15.46823787689209,80.26549530029297,-9999.0,-9999.0,0.0,0.012000000569969416,-9999.0
2017.0,11.0,28.0,8.0,20.0,10.0,15.452312469482422,80.14042663574219,0.4770000226562843,-9999.0,0.0,0.09200000436976552,0.359000017051585
2017.0,11.0,28.0,8.0,20.0,10.0,15.436603546142578,80.01759338378906,0.5720000271685421,0.43400002061389387,3.0,0.035000001662410796,0.43400002061389387
