local,value,latitude,longitude
2017-07-02,33.1875,28.564799999999995,77.17440000000002
2017-07-03,68.67441860465117,28.564800000000016,77.17439999999998
2017-07-04,62.96774193548387,28.564799999999995,77.17440000000002
2017-07-05,79.1891891891892,28.5648,77.1744
2017-07-06,62.44736842105263,28.5648,77.17439999999999
2017-07-07,52.73684210526316,28.5648,77.17439999999999
2017-07-08,78.7741935483871,28.564799999999995,77.17440000000002
2017-07-09,75.81818181818181,28.564799999999995,77.1744
2017-07-10,68.0,28.5648,77.1744
2017-07-11,64.55555555555556,28.564799999999998,77.1744
2017-07-12,43.0,28.564799999999998,77.1744
2017-07-13,38.166666666666664,28.564799999999995,77.1744
2017-07-14,48.851851851851855,28.564799999999995,77.17440000000005
2017-07-15,53.6,28.564799999999998,77.17440000000003
2017-07-16,56.333333333333336,28.564799999999998,77.17440000000003
2017-07-17,53.87179487179487,28.564800000000005,77.17439999999999
2017-07-18,51.166666666666664,28.564799999999995,77.1744
2017-07-19,78.0,28.564799999999998,77.17440000000003
2017-07-20,44.0,28.564799999999995,77.17440000000003
2017-07-21,33.76923076923077,28.564799999999995,77.17440000000005
2017-07-22,41.77777777777778,28.564799999999998,77.1744
2017-07-23,37.61904761904762,28.564800000000012,77.17439999999999
2017-07-24,31.9,28.564799999999998,77.17440000000003
2017-07-25,33.333333333333336,28.564799999999998,77.17440000000003
2017-07-26,42.84615384615385,28.564800000000005,77.17439999999999
2017-07-27,41.75,28.564799999999998,77.1744
2017-07-28,34.96,28.564799999999995,77.17440000000005
2017-07-29,33.666666666666664,28.5648,77.1744
2017-07-30,24.6,28.5648,77.1744
2017-07-31,26.25,28.564799999999995,77.1744
2017-08-01,34.5,28.564799999999998,77.1744
2017-08-02,45.375,28.564799999999998,77.1744
2017-08-03,51.642857142857146,28.564799999999995,77.1744
2017-08-04,81.22222222222223,28.564799999999998,77.1744
2017-08-05,,,
2017-08-06,100.71428571428571,28.564799999999998,77.1744
2017-08-07,60.63636363636363,28.564799999999995,77.1744
2017-08-08,60.93333333333333,28.564799999999995,77.17440000000002
2017-08-09,57.42857142857143,28.564799999999995,77.1744
2017-08-10,55.0,28.564799999999995,77.1744
2017-08-11,39.95652173913044,28.564799999999995,77.17440000000005
2017-08-12,,,
2017-08-13,56.25,28.5648,77.1744
2017-08-14,,,
