,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag,Location
139392,2017.0,4.0,23.0,8.0,42.0,27.0,28.63409996,77.20050049,0.6030000286409631,0.6030000286409631,1.0,3.0,Mandir
139392,2017.0,4.0,23.0,8.0,42.0,27.0,28.637672,77.15714399999999,0.6030000286409631,0.6030000286409631,1.0,3.0,Pusa
140294,2017.0,4.0,23.0,8.0,42.0,27.0,28.65169907,77.15809631,0.7110000337706879,0.7110000337706879,1.0,3.0,Shadipur
140295,2017.0,4.0,23.0,8.0,42.0,27.0,28.66830063,77.11669922,0.6770000321557745,0.6770000321557745,1.0,3.0,Punjabi Bagh
138040,2017.0,4.0,23.0,8.0,42.0,25.0,28.56,77.094,0.40800001937896013,0.40800001937896013,1.0,3.0,IGI Airport
138943,2017.0,4.0,23.0,8.0,42.0,25.0,28.590999600000004,77.05000305,0.7960000378079712,0.7960000378079712,1.0,3.0,NSIT Dwarka
137138,2017.0,4.0,23.0,8.0,42.0,24.0,28.48,77.13,0.5950000282609835,0.5950000282609835,1.0,3.0,Aya Nagar
138489,2017.0,4.0,23.0,8.0,42.0,25.0,28.55,77.28,-9999.0,0.7660000363830477,2.0,0.0,CRRI Mathura
138039,2017.0,4.0,23.0,8.0,42.0,25.0,28.56480026,77.17440033,0.6620000314433128,0.6620000314433128,1.0,3.0,R K Puram
138490,2017.0,4.0,23.0,8.0,42.0,25.0,28.54965,77.21215,0.6370000302558765,0.6370000302558765,1.0,3.0,Sirifort
139392,2017.0,4.0,23.0,8.0,42.0,27.0,28.63575935,77.22444916,0.6030000286409631,0.6030000286409631,1.0,3.0,US Diplomatic Post: New Delhi
139842,2017.0,4.0,23.0,8.0,42.0,27.0,28.62350082,77.24939728,-9999.0,0.6440000305883586,2.0,0.0,ITO
138941,2017.0,4.0,23.0,8.0,42.0,25.0,28.59,77.24,0.6410000304458663,0.6410000304458663,1.0,3.0,Lodhi Road
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.63409996,77.20050049,-9999.0,-9999.0,1.0,-9999.0,Mandir
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.637672,77.15714399999999,-9999.0,-9999.0,1.0,-9999.0,Pusa
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.65169907,77.15809631,-9999.0,-9999.0,1.0,-9999.0,Shadipur
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.66830063,77.11669922,-9999.0,-9999.0,1.0,-9999.0,Punjabi Bagh
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.56,77.094,-9999.0,-9999.0,1.0,-9999.0,IGI Airport
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.590999600000004,77.05000305,-9999.0,-9999.0,1.0,-9999.0,NSIT Dwarka
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.48,77.13,-9999.0,-9999.0,1.0,-9999.0,Aya Nagar
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.55,77.28,-9999.0,-9999.0,1.0,-9999.0,CRRI Mathura
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.56480026,77.17440033,-9999.0,-9999.0,1.0,-9999.0,R K Puram
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.54965,77.21215,-9999.0,-9999.0,1.0,-9999.0,Sirifort
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.63575935,77.22444916,-9999.0,-9999.0,1.0,-9999.0,US Diplomatic Post: New Delhi
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.62350082,77.24939728,-9999.0,-9999.0,1.0,-9999.0,ITO
304425,2017.0,5.0,26.0,9.0,25.0,9.0,28.59,77.24,-9999.0,-9999.0,1.0,-9999.0,Lodhi Road
7,2017.0,7.0,3.0,8.0,50.0,10.0,28.63409996,77.20050049,-9999.0,-9999.0,1.0,-9999.0,Mandir
7,2017.0,7.0,3.0,8.0,50.0,10.0,28.637672,77.15714399999999,-9999.0,-9999.0,1.0,-9999.0,Pusa
7,2017.0,7.0,3.0,8.0,50.0,10.0,28.65169907,77.15809631,-9999.0,-9999.0,1.0,-9999.0,Shadipur
7,2017.0,7.0,3.0,8.0,50.0,10.0,28.66830063,77.11669922,-9999.0,-9999.0,1.0,-9999.0,Punjabi Bagh
8,2017.0,7.0,3.0,8.0,50.0,10.0,28.56,77.094,-9999.0,-9999.0,1.0,-9999.0,IGI Airport
8,2017.0,7.0,3.0,8.0,50.0,10.0,28.590999600000004,77.05000305,-9999.0,-9999.0,1.0,-9999.0,NSIT Dwarka
7,2017.0,7.0,3.0,8.0,50.0,10.0,28.48,77.13,-9999.0,-9999.0,1.0,-9999.0,Aya Nagar
6,2017.0,7.0,3.0,8.0,50.0,10.0,28.55,77.28,-9999.0,-9999.0,1.0,-9999.0,CRRI Mathura
7,2017.0,7.0,3.0,8.0,50.0,10.0,28.56480026,77.17440033,-9999.0,-9999.0,1.0,-9999.0,R K Puram
7,2017.0,7.0,3.0,8.0,50.0,10.0,28.54965,77.21215,-9999.0,-9999.0,1.0,-9999.0,Sirifort
7,2017.0,7.0,3.0,8.0,50.0,10.0,28.63575935,77.22444916,-9999.0,-9999.0,1.0,-9999.0,US Diplomatic Post: New Delhi
7,2017.0,7.0,3.0,8.0,50.0,10.0,28.62350082,77.24939728,-9999.0,-9999.0,1.0,-9999.0,ITO
7,2017.0,7.0,3.0,8.0,50.0,10.0,28.59,77.24,-9999.0,-9999.0,1.0,-9999.0,Lodhi Road
107710,2017.0,6.0,27.0,7.0,46.0,55.0,28.63409996,77.20050049,-9999.0,-9999.0,1.0,-9999.0,Mandir
