,Cloud_Fraction,AOD,Location,Date,PM25
1,0.0,0.9180000436026604,US Diplomatic Post: New Delhi,2017-01-01,156.61249999999995
2,0.0,0.9180000436026604,Mandir,2017-01-01,168.2340425531915
4,0.0,0.38900001847650856,Punjabi Bagh,2017-01-02,174.05405405405406
7,0.0,0.38900001847650856,Mandir,2017-01-02,174.97916666666663
12,0.0,0.7050000334857032,US Diplomatic Post: New Delhi,2017-01-05,166.12083333333334
15,0.0,0.7050000334857032,Mandir,2017-01-05,155.8125
16,0.10800000512972474,0.893000042415224,Mandir,2017-01-06,151.33333333333334
18,0.13966667330047736,0.8903333756218975,Punjabi Bagh,2017-01-06,139.5
19,0.02133333434661229,0.8180000388529152,Sirifort,2017-01-06,159.98478260869567
20,0.085666670735615,1.020666715145732,ITO,2017-01-06,152.96875
21,0.085666670735615,1.090000051772222,US Diplomatic Post: New Delhi,2017-01-06,145.83333333333334
22,0.0880000041797757,0.5135000243899412,ITO,2017-01-08,141.20833333333334
23,0.0880000041797757,0.5135000243899412,Sirifort,2017-01-08,132.83260869565217
24,0.004500000213738531,0.517500024579931,US Diplomatic Post: New Delhi,2017-01-08,132.67083333333332
26,0.004500000213738531,0.517500024579931,Mandir,2017-01-08,131.8125
27,0.004500000213738531,0.517500024579931,Punjabi Bagh,2017-01-08,145.21875
28,0.3300000156741589,0.3000000142492354,Punjabi Bagh,2017-01-09,146.375
29,0.2245000106631778,0.5685000270023011,ITO,2017-01-09,120.77083333333331
30,0.19700000935699788,0.6065000288072042,Sirifort,2017-01-09,148.92666666666662
32,0.19200000911951062,0.6000000284984708,Mandir,2017-01-09,104.46428571428572
33,0.19200000911951062,0.6000000284984708,US Diplomatic Post: New Delhi,2017-01-09,138.70833333333334
34,0.21700001030694693,0.3880000184290111,Mandir,2017-01-10,113.16129032258064
35,0.23100001097191125,0.4030000191414729,Sirifort,2017-01-10,135.4644444444445
36,0.23100001097191125,0.4030000191414729,US Diplomatic Post: New Delhi,2017-01-10,112.53333333333336
37,0.23100001097191125,0.4030000191414729,ITO,2017-01-10,100.97894736842105
38,0.27950001327553764,0.4835000229650177,Punjabi Bagh,2017-01-10,118.18604651162792
39,0.23100001097191125,0.4030000191414729,R K Puram,2017-01-10,130.08823529411765
42,0.2065000098082237,0.452000021468848,Sirifort,2017-01-11,168.16956521739132
43,0.2065000098082237,0.452000021468848,Mandir,2017-01-11,154.4090909090909
44,0.2065000098082237,0.452000021468848,ITO,2017-01-11,157.14285714285714
45,0.2065000098082237,0.452000021468848,US Diplomatic Post: New Delhi,2017-01-11,171.65833333333333
62,0.07350000349106267,0.5150000244611874,ITO,2017-01-14,178.54347826086956
66,0.04800000227987766,0.7056667001840348,ITO,2017-01-15,173.67708333333337
69,0.04800000227987766,0.7056667001840348,US Diplomatic Post: New Delhi,2017-01-15,174.19166666666663
70,0.14200000674463809,0.22100001049693674,US Diplomatic Post: New Delhi,2017-01-17,150.75416666666666
72,0.14200000674463809,0.22100001049693674,Mandir,2017-01-17,124.35416666666669
73,0.14200000674463809,0.22100001049693674,Punjabi Bagh,2017-01-17,143.8723404255319
75,0.14200000674463809,0.22100001049693674,ITO,2017-01-17,115.38947368421051
77,0.0995000047259964,0.7565000359318219,Punjabi Bagh,2017-01-18,172.08333333333337
78,0.10600000503472984,0.8085000384016894,ITO,2017-01-18,118.46875
80,0.0935000044410117,0.8075000383541919,Mandir,2017-01-18,137.9787234042553
81,0.0935000044410117,0.8075000383541919,US Diplomatic Post: New Delhi,2017-01-18,167.10833333333332
84,0.15300000726711005,0.3510000166716054,ITO,2017-01-19,104.52083333333331
85,0.07550000358605757,0.39700001885648817,R K Puram,2017-01-19,149.55
86,0.09300000441726297,0.3470000164816156,Punjabi Bagh,2017-01-19,123.78260869565216
87,0.15300000726711005,0.3510000166716054,Mandir,2017-01-19,106.04166666666669
90,0.30300001439172775,0.3355000159353949,ITO,2017-01-20,111.10416666666669
91,0.237000011256896,0.2980000141542405,Punjabi Bagh,2017-01-20,116.82352941176471
92,0.30300001439172775,0.3355000159353949,Mandir,2017-01-20,96.03125
95,0.06700000318232924,1.2530000595143065,US Diplomatic Post: New Delhi,2017-01-22,61.04583333333337
103,0.027000001282431185,0.7140000339131802,US Diplomatic Post: New Delhi,2017-01-23,25.47499999999999
107,0.05533333596152564,0.727333367879813,R K Puram,2017-01-24,173.83333333333337
112,0.0,0.6800000322982669,Mandir,2017-01-26,95.14285714285714
113,0.0,0.6800000322982669,US Diplomatic Post: New Delhi,2017-01-26,94.75416666666666
114,0.0,0.6800000322982669,Punjabi Bagh,2017-01-26,100.95454545454544
115,0.0,0.6800000322982669,R K Puram,2017-01-26,124.70731707317071
116,0.0,0.6800000322982669,Sirifort,2017-01-26,91.325
117,0.0,0.6800000322982669,ITO,2017-01-26,80.37209302325581
118,0.4970000236062333,0.6300000299233943,R K Puram,2017-01-28,107.5
119,0.4690000222763047,0.6340000301133841,ITO,2017-01-28,74.15294117647059
120,0.1850000087870285,0.7270000345306471,Sirifort,2017-01-28,99.66666666666669
121,0.4690000222763047,0.6340000301133841,Mandir,2017-01-28,92.11111111111113
123,0.025000001187436286,0.3115000147954561,Sirifort,2017-01-30,160.1860465116279
124,0.025000001187436286,0.3115000147954561,R K Puram,2017-01-30,63.6
125,0.028500001353677362,0.4635000220150687,US Diplomatic Post: New Delhi,2017-01-30,149.64583333333334
126,0.04850000230362639,0.477500022680033,ITO,2017-01-30,163.36470588235295
127,0.07500000356230885,0.3180000151041895,Mandir,2017-01-30,153.1818181818182
