,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag,Location
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.72835,77.197484,-9999.0,-9999.0,1.0,-9999.0,"Burari Crossing, New Delhi - IMD"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.55,77.28,-9999.0,-9999.0,1.0,-9999.0,"CRRI Mathura Road, New Delhi - IMD"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.7504,77.11717,-9999.0,-9999.0,1.0,-9999.0,"DTU, New Delhi - CPCB"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.499727000000004,77.267095,-9999.0,-9999.0,1.0,-9999.0,"Dr. Karni Singh Shooting Range, Delhi - DPCC†"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.572038,77.070837,-9999.0,-9999.0,1.0,-9999.0,"Dwarka-Sector 8, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.655602000000002,77.294687,-9999.0,-9999.0,1.0,-9999.0,"East Arjun Nagar, Delhi - CPCB"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.56,77.094,-9999.0,-9999.0,1.0,-9999.0,"IGI Airport Terminal - 3, New Delhi - IMD"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.68255,77.30512,-9999.0,-9999.0,1.0,-9999.0,"IHBAS, Dilshad Garden,New Delhi - CPCB"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.624059999999997,77.2411,-9999.0,-9999.0,1.0,-9999.0,"ITO, New Delhi - CPCB"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.725833,77.162752,-9999.0,-9999.0,1.0,-9999.0,"Jahangirpuri, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.582846000000004,77.23436600000001,-9999.0,-9999.0,1.0,-9999.0,"Jawaharlal Nehru Stadium, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.59,77.24,-9999.0,-9999.0,1.0,-9999.0,"Lodhi Road, New Delhi - IMD"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.612441999999998,77.23727199999999,-9999.0,-9999.0,1.0,-9999.0,"Major Dhyan Chand National Stadium, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.6341,77.2005,-9999.0,-9999.0,1.0,-9999.0,"Mandir Marg, New Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.608052,77.036187,-9999.0,-9999.0,1.0,-9999.0,"NSIT Dwarka, New Delhi - CPCB"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.609013,76.985453,-9999.0,-9999.0,1.0,-9999.0,"Najafgarh, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.853959999999997,77.09178399999999,-9999.0,-9999.0,1.0,-9999.0,"Narela, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.563867,77.26080999999999,-9999.0,-9999.0,1.0,-9999.0,"Nehru Nagar, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.688812,77.20727099999999,-9999.0,-9999.0,1.0,-9999.0,"North Campus, DU, New Delhi - IMD"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.535763,77.276433,-9999.0,-9999.0,1.0,-9999.0,"Okhla Phase-2, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.619988,77.292355,-9999.0,-9999.0,1.0,-9999.0,"Patparganj, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.6683,77.1167,-9999.0,-9999.0,1.0,-9999.0,"Punjabi Bagh, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.637672,77.15714399999999,-9999.0,-9999.0,1.0,-9999.0,"Pusa, New Delhi - IMD"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.5648,77.1744,-9999.0,-9999.0,1.0,-9999.0,"R K Puram, New Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.749471999999997,77.056533,-9999.0,-9999.0,1.0,-9999.0,"Rohini, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.651558,77.158194,-9999.0,-9999.0,1.0,-9999.0,"Shadipur, New Delhi - CPCB"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.54965,77.21215,-9999.0,-9999.0,1.0,-9999.0,"Sirifort, New Delhi - CPCB"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.733247,77.249589,-9999.0,-9999.0,1.0,-9999.0,"Sonia Vihar, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.671246000000004,77.317654,-9999.0,-9999.0,1.0,-9999.0,"Vivek Vihar, Delhi - DPCC"
304425,2015.0,1.0,13.0,9.0,25.0,6.0,28.700217,77.16379,-9999.0,-9999.0,1.0,-9999.0,"Wazirpur, Delhi - DPCC"
76,2015.0,11.0,14.0,8.0,30.0,9.0,28.6508,77.3152,0.7110000337706879,0.7110000337706879,1.0,3.0,"Anand Vihar, Delhi - DPCC"
79,2015.0,11.0,14.0,8.0,30.0,9.0,28.688454999999998,77.17575,0.698000033153221,0.698000033153221,1.0,3.0,"Ashok Vihar, Delhi - DPCC"
79,2015.0,11.0,14.0,8.0,30.0,9.0,28.48,77.13,0.698000033153221,0.698000033153221,1.0,3.0,"Aya Nagar, New Delhi - IMD"
78,2015.0,11.0,14.0,8.0,30.0,9.0,28.72835,77.197484,0.6520000309683383,0.6520000309683383,1.0,3.0,"Burari Crossing, New Delhi - IMD"
77,2015.0,11.0,14.0,8.0,30.0,9.0,28.55,77.28,0.658000031253323,0.658000031253323,1.0,3.0,"CRRI Mathura Road, New Delhi - IMD"
80,2015.0,11.0,14.0,8.0,30.0,9.0,28.7504,77.11717,-9999.0,-9999.0,1.0,-9999.0,"DTU, New Delhi - CPCB"
77,2015.0,11.0,14.0,8.0,30.0,9.0,28.499727000000004,77.267095,0.658000031253323,0.658000031253323,1.0,3.0,"Dr. Karni Singh Shooting Range, Delhi - DPCC†"
81,2015.0,11.0,14.0,8.0,30.0,9.0,28.572038,77.070837,0.6370000302558765,0.6370000302558765,1.0,3.0,"Dwarka-Sector 8, Delhi - DPCC"
76,2015.0,11.0,14.0,8.0,30.0,9.0,28.655602000000002,77.294687,0.7110000337706879,0.7110000337706879,1.0,3.0,"East Arjun Nagar, Delhi - CPCB"
80,2015.0,11.0,14.0,8.0,30.0,9.0,28.56,77.094,-9999.0,-9999.0,1.0,-9999.0,"IGI Airport Terminal - 3, New Delhi - IMD"
76,2015.0,11.0,14.0,8.0,30.0,9.0,28.68255,77.30512,0.7110000337706879,0.7110000337706879,1.0,3.0,"IHBAS, Dilshad Garden,New Delhi - CPCB"
