local,location,city,country,value,unit,latitude,longitude
2015-06-30 14:30:00,Punjabi Bagh,Delhi,IN,70.0,µg/m³,28.6683,77.1167
2015-06-30 14:40:00,Anand Vihar,Delhi,IN,84.0,µg/m³,28.6508,77.3152
2015-06-30 15:10:00,Punjabi Bagh,Delhi,IN,70.0,µg/m³,28.6683,77.1167
2015-06-30 15:10:00,RK Puram,Delhi,IN,69.0,µg/m³,28.5648,77.1744
2015-06-30 15:10:00,Mandir Marg,Delhi,IN,101.0,µg/m³,28.6341,77.2005
2015-06-30 15:20:00,Anand Vihar,Delhi,IN,84.0,µg/m³,28.6508,77.3152
2015-06-30 15:30:00,RK Puram,Delhi,IN,69.0,µg/m³,28.5648,77.1744
2015-06-30 15:30:00,Mandir Marg,Delhi,IN,73.0,µg/m³,28.6341,77.2005
2015-06-30 15:30:00,Punjabi Bagh,Delhi,IN,55.0,µg/m³,28.6683,77.1167
2015-06-30 15:40:00,Anand Vihar,Delhi,IN,41.0,µg/m³,28.6508,77.3152
2015-06-30 16:10:00,Punjabi Bagh,Delhi,IN,55.0,µg/m³,28.6683,77.1167
2015-06-30 16:10:00,Mandir Marg,Delhi,IN,73.0,µg/m³,28.6341,77.2005
2015-06-30 16:20:00,Anand Vihar,Delhi,IN,41.0,µg/m³,28.6508,77.3152
2015-06-30 16:30:00,Mandir Marg,Delhi,IN,42.0,µg/m³,28.6341,77.2005
2015-06-30 16:30:00,Punjabi Bagh,Delhi,IN,124.0,µg/m³,28.6683,77.1167
2015-06-30 16:30:00,RK Puram,Delhi,IN,44.0,µg/m³,28.5648,77.1744
2015-06-30 17:10:00,RK Puram,Delhi,IN,68.0,µg/m³,28.5648,77.1744
2015-06-30 17:10:00,Punjabi Bagh,Delhi,IN,124.0,µg/m³,28.6683,77.1167
2015-06-30 17:10:00,Mandir Marg,Delhi,IN,42.0,µg/m³,28.6341,77.2005
2015-06-30 17:30:00,Punjabi Bagh,Delhi,IN,23.0,µg/m³,28.6683,77.1167
2015-06-30 17:30:00,Mandir Marg,Delhi,IN,42.0,µg/m³,28.6341,77.2005
2015-06-30 17:30:00,RK Puram,Delhi,IN,68.0,µg/m³,28.5648,77.1744
2015-06-30 17:40:00,Anand Vihar,Delhi,IN,49.0,µg/m³,28.6508,77.3152
2015-06-30 18:10:00,Mandir Marg,Delhi,IN,42.0,µg/m³,28.6341,77.2005
2015-06-30 18:10:00,RK Puram,Delhi,IN,51.0,µg/m³,28.5648,77.1744
2015-06-30 18:10:00,Punjabi Bagh,Delhi,IN,23.0,µg/m³,28.6683,77.1167
2015-06-30 18:30:00,RK Puram,Delhi,IN,51.0,µg/m³,28.5648,77.1744
